Username,First Name,Last Name,Email,Total Achievements,Achievements Earned in Range,Last Achievement Date,Date Joined,Groups
admin,,,arun733@gmail.com,31,31,2016-01-20 09:43:54,2015-08-03 10:40:13,Group 5
school1,School 1,,school1@gmail.com,19,19,2016-01-19 07:27:08,2015-08-10 06:33:09,Group 1,Group 5,school 1 Group 11,Group Yes,Group No,Group yes new,testgroup,testgroup1,School1Group2 public,School1Group3 private
teacher1,Teacher,1,teacher1@gmail.com,39,39,2016-01-19 07:51:39,2015-08-10 06:56:30,Group 3,Group 1,Group 1 T1 Group 1 T1 Group 1 T1 Group 1 T1 Group 1 T1 Group 1 T1 Group 1 T1 Group 1 T1 Group 1 T1 G,Group 5,Teacher1Groupublic
teacher2,Teacher,2,teacher2@gmail.com,3,3,2015-09-09 06:04:26,2015-08-10 06:57:25,Group 4,Group 2
student1,Student,1,s1@gmail.com,175,175,2016-03-28 04:57:19,2015-08-10 06:59:14,Group 1
student2,Student,2,s2@gmail.com,31,31,2016-01-19 07:02:17,2015-08-10 07:01:35,Group 2
student3,Student,3,s3@gmail.com,2730,2730,2016-01-19 07:03:44,2015-08-10 07:44:46,Group 3
student4,Student,4,s4@gmail.com,4085,4085,2016-01-19 07:11:04,2015-08-10 07:50:45,Group 4
student1t1,Student1,T1,s1t1@gmail.com,2,2,2015-08-18 07:09:06,2015-08-18 06:20:49,Group 1 T1 Group 1 T1 Group 1 T1 Group 1 T1 Group 1 T1 Group 1 T1 Group 1 T1 Group 1 T1 Group 1 T1 G
teachertwo,Teacher,Two,teacher2@asahimails.com,4,4,2015-12-30 10:30:11,2015-12-30 10:27:47,Teacher Two
